"Libellé";"Indice brut de la production industrielle (base 100 en 2021) - Industrie automobile (NAF rév. 2, niveau A64, poste CL1)";"Codes"
"idBank";"010768300";""
"Dernière mise à jour";"03/04/2026 08:45";""
"Période";"";""
"2026-02";"102.42";"A"
"2026-01";"99.38";"A"
"2025-12";"98.65";"A"
"2025-11";"109.65";"A"
"2025-10";"110.73";"A"
"2025-09";"115.65";"A"
"2025-08";"51.14";"A"
"2025-07";"104.58";"A"
"2025-06";"113.29";"A"
"2025-05";"103.6";"A"
"2025-04";"113.01";"A"
"2025-03";"116.09";"A"
"2025-02";"107.96";"A"
"2025-01";"103.96";"A"
"2024-12";"82.91";"A"
"2024-11";"110.99";"A"
"2024-10";"110.59";"A"
"2024-09";"104.53";"A"
"2024-08";"52.48";"A"
"2024-07";"102.34";"A"
"2024-06";"110.11";"A"
"2024-05";"98.46";"A"
"2024-04";"111.41";"A"
"2024-03";"110.92";"A"
"2024-02";"117.14";"A"
"2024-01";"111.28";"A"
"2023-12";"92.75";"A"
"2023-11";"128.77";"A"
"2023-10";"130.79";"A"
"2023-09";"114.09";"A"
"2023-08";"57.46";"A"
"2023-07";"108.97";"A"
"2023-06";"133.17";"A"
"2023-05";"119.28";"A"
"2023-04";"105.95";"A"
"2023-03";"134.56";"A"
"2023-02";"122.66";"A"
"2023-01";"120.01";"A"
"2022-12";"103.33";"A"
"2022-11";"122.35";"A"
"2022-10";"115.49";"A"
"2022-09";"126.14";"A"
"2022-08";"65.04";"A"
"2022-07";"91.33";"A"
"2022-06";"113.14";"A"
"2022-05";"113.34";"A"
"2022-04";"88.52";"A"
"2022-03";"103.9";"A"
"2022-02";"99.45";"A"
"2022-01";"103.12";"A"
"2021-12";"95.53";"A"
"2021-11";"104.14";"A"
"2021-10";"98.23";"A"
"2021-09";"96.85";"A"
"2021-08";"50.08";"A"
"2021-07";"86.94";"A"
"2021-06";"109.33";"A"
"2021-05";"91.85";"A"
"2021-04";"109.06";"A"
"2021-03";"127.12";"A"
"2021-02";"116.57";"A"
"2021-01";"114.29";"A"
"2020-12";"104.6";"A"
"2020-11";"126.14";"A"
"2020-10";"144.9";"A"
"2020-09";"139.22";"A"
"2020-08";"57.78";"A"
"2020-07";"92.87";"A"
"2020-06";"94.88";"A"
"2020-05";"44.51";"A"
"2020-04";"9.96";"A"
"2020-03";"83.8";"A"
"2020-02";"134.02";"A"
"2020-01";"128.41";"A"
"2019-12";"105.79";"A"
"2019-11";"132.85";"A"
"2019-10";"151.56";"A"
"2019-09";"136.07";"A"
"2019-08";"68.62";"A"
"2019-07";"132.48";"A"
"2019-06";"143.73";"A"
"2019-05";"152.61";"A"
"2019-04";"151.3";"A"
"2019-03";"157.59";"A"
"2019-02";"147.69";"A"
"2019-01";"148.74";"A"
"2018-12";"110.55";"A"
"2018-11";"147.49";"A"
"2018-10";"159.49";"A"
"2018-09";"140.03";"A"
"2018-08";"74.01";"A"
"2018-07";"131.44";"A"
"2018-06";"156.72";"A"
"2018-05";"136.87";"A"
"2018-04";"146.72";"A"
"2018-03";"162.39";"A"
"2018-02";"145.1";"A"
"2018-01";"146.36";"A"
"2017-12";"115.17";"A"
"2017-11";"157.36";"A"
"2017-10";"162.52";"A"
"2017-09";"155.7";"A"
"2017-08";"73.86";"A"
"2017-07";"121.02";"A"
"2017-06";"151.36";"A"
"2017-05";"145.37";"A"
"2017-04";"129.84";"A"
"2017-03";"159.58";"A"
"2017-02";"135.16";"A"
"2017-01";"135.26";"A"
"2016-12";"115.01";"A"
"2016-11";"142.2";"A"
"2016-10";"135.14";"A"
"2016-09";"141.45";"A"
"2016-08";"75.92";"A"
"2016-07";"108.81";"A"
"2016-06";"151.64";"A"
"2016-05";"137.04";"A"
"2016-04";"145.79";"A"
"2016-03";"144.86";"A"
"2016-02";"142.29";"A"
"2016-01";"123.32";"A"
"2015-12";"103.37";"A"
"2015-11";"134.84";"A"
"2015-10";"140.09";"A"
"2015-09";"142.6";"A"
"2015-08";"70.72";"A"
"2015-07";"110.13";"A"
"2015-06";"147.34";"A"
"2015-05";"115.79";"A"
"2015-04";"136.86";"A"
"2015-03";"138.93";"A"
"2015-02";"127.24";"A"
"2015-01";"116.56";"A"
"2014-12";"92.66";"A"
"2014-11";"110.6";"A"
"2014-10";"128.51";"A"
"2014-09";"136.17";"A"
"2014-08";"59.88";"A"
"2014-07";"113.38";"A"
"2014-06";"128.64";"A"
"2014-05";"116.84";"A"
"2014-04";"126.54";"A"
"2014-03";"125.46";"A"
"2014-02";"121.44";"A"
"2014-01";"118.44";"A"
"2013-12";"94.33";"A"
"2013-11";"118.53";"A"
"2013-10";"131.31";"A"
"2013-09";"123.88";"A"
"2013-08";"52.42";"A"
"2013-07";"106.3";"A"
"2013-06";"125.77";"A"
"2013-05";"119.92";"A"
"2013-04";"127.39";"A"
"2013-03";"118.86";"A"
"2013-02";"106.45";"A"
"2013-01";"106.87";"A"
"2012-12";"81.63";"A"
"2012-11";"115.42";"A"
"2012-10";"123.8";"A"
"2012-09";"125.06";"A"
"2012-08";"62.08";"A"
"2012-07";"118.99";"A"
"2012-06";"136.78";"A"
"2012-05";"120.76";"A"
"2012-04";"125.6";"A"
"2012-03";"141.3";"A"
"2012-02";"136.5";"A"
"2012-01";"135.21";"A"
"2011-12";"107.53";"A"
"2011-11";"140.87";"A"
"2011-10";"140.51";"A"
"2011-09";"145.8";"A"
"2011-08";"58.28";"A"
"2011-07";"123.09";"A"
"2011-06";"146.92";"A"
"2011-05";"160.97";"A"
"2011-04";"139.76";"A"
"2011-03";"160.75";"A"
"2011-02";"146.5";"A"
"2011-01";"141.12";"A"
"2010-12";"112.91";"A"
"2010-11";"142.01";"A"
"2010-10";"141.01";"A"
